Country,year,avg_temp_mean_f,avg_temp_max_f,avg_temp_min_f,total_precip_mm,avg_sunshine_hrs,total_radiation_mj
Costa Rica,1996,81.2009,82.22,79.90828,1552.8999,3610.9521,7322.36
Costa Rica,1997,81.32894,82.31148,80.05852,971.69995,3806.6086,7708.02
Costa Rica,1998,82.40537,83.46767,81.06554,1303.4001,3599.619,7335.98
Costa Rica,1999,81.35813,82.44858,80.01685,1455.2999,3700.7322,7343.4805
Costa Rica,2000,81.51483,82.58442,80.16205,1506.0,3691.1064,7386.37
Costa Rica,2001,81.72933,82.88354,80.32161,1594.2001,3660.879,7292.11
Costa Rica,2002,81.87671,82.92817,80.52875,1165.1,3735.37,7476.71
Costa Rica,2003,81.87462,82.9294,80.4274,1246.6001,3641.1233,7282.17
Costa Rica,2004,81.512375,82.650085,80.070076,1550.8999,3637.1907,7243.94
Costa Rica,2005,81.940216,83.04036,80.56228,1886.1001,3500.8938,7086.1494
Costa Rica,2006,81.75721,82.7706,80.47475,1024.5,3753.5916,7497.5703
Costa Rica,2007,81.35627,82.33367,80.05359,1447.7001,3669.742,7397.0
Costa Rica,2008,81.52033,82.52664,80.16377,1440.0,3723.7505,7396.87
Costa Rica,2009,81.90122,82.89685,80.62515,1517.0,3709.2727,7459.84
Costa Rica,2010,82.12954,83.20014,80.69666,2108.0999,3493.1467,6999.95
Costa Rica,2011,81.42941,82.51836,80.02326,2071.3,3572.0078,7047.9697
Costa Rica,2012,81.76225,82.716965,80.47434,1041.9,3805.7773,7579.8
Costa Rica,2013,81.769226,82.79255,80.44417,1484.5,3592.7002,7191.5596
Costa Rica,2014,81.896255,82.91879,80.629585,1607.7998,3623.9382,7272.4395
Costa Rica,2015,82.08092,83.19175,80.57164,1590.5,3696.4421,7321.9697
Costa Rica,2016,82.70122,83.71262,81.42254,788.80005,3797.9539,7622.3096
Costa Rica,2017,82.29017,83.38927,80.82833,1382.4999,3660.2156,7347.96
Costa Rica,2018,81.96072,83.01398,80.62096,1127.0,3645.3184,7368.79
Costa Rica,2019,82.400505,83.42082,81.11534,1089.1001,3799.811,7607.5996
Costa Rica,2020,82.41732,83.46107,81.05738,1527.9999,3604.3875,7347.04
Croatia,1995,45.155197,52.329903,38.480015,1772.5,3137.5833,4849.3203
Croatia,1996,43.24677,50.23376,36.783184,1617.2,3034.9072,4754.45
Croatia,1997,45.124313,52.643547,38.33059,1416.3,3216.7986,5062.5
Croatia,1998,45.800034,53.256035,39.057,1442.2,3314.638,5109.1504
Croatia,1999,45.842365,53.21609,39.21604,1682.9,3108.8352,4834.98
Croatia,2000,47.86849,55.76236,40.79286,1285.5,3412.0933,5260.4004
Croatia,2001,45.9841,53.511242,38.993137,1517.6001,3231.3708,4966.01
Croatia,2002,46.528553,53.610615,40.28297,1726.9001,3036.4395,4714.1797
Croatia,2003,46.22207,54.20881,39.009167,1189.7999,3422.0576,5255.46
Croatia,2004,44.862087,52.20343,38.42359,1857.9,3056.8777,4801.33
Croatia,2005,43.974934,51.235107,37.413574,1723.6,3182.609,4877.63
Croatia,2006,45.920815,53.355896,39.137627,1368.7,3244.1467,5004.31
Croatia,2007,47.048016,54.753,40.0973,1494.7,3221.3025,5065.5
Croatia,2008,46.699986,54.092693,40.31556,1587.3999,3222.4072,4936.54
Croatia,2009,46.68002,54.242092,39.92149,1522.3,3169.6548,4962.61
Croatia,2010,44.228558,51.434834,37.57681,1956.9001,3025.172,4765.88
Croatia,2011,46.856518,55.309513,39.383957,1009.1,3390.6594,5295.08
Croatia,2012,46.94542,54.90466,39.84712,1476.8,3310.5088,5250.81
Croatia,2013,46.05469,53.18577,39.737793,1713.2,3123.685,4843.1797
Croatia,2014,47.725887,54.46722,41.803356,1942.1001,2971.345,4622.58
Croatia,2015,47.717403,55.482864,40.87574,1435.5999,3270.5266,5077.33
Croatia,2016,46.85566,54.114727,40.62505,1748.7,3163.1143,4870.91
Croatia,2017,45.87961,53.934708,38.648262,1506.3,3216.0793,5250.3604
Croatia,2018,46.69745,54.026917,40.180237,1400.8999,3016.9448,4924.06
Croatia,2019,46.89052,54.54646,40.05251,1515.3,3105.9084,5097.8403
Croatia,2020,46.541203,54.517353,39.72489,1339.1,3316.4548,5258.67
Cuba,1995,74.906075,84.33247,66.28168,1282.4001,3590.7717,6926.44
Cuba,1996,75.511,85.02434,66.92918,1226.3,3560.8647,6908.41
Cuba,1997,73.822296,82.69324,65.868164,1496.8,3439.3923,6580.6904
Cuba,1998,74.67549,83.72096,66.69099,1203.7,3516.8362,6777.95
Cuba,1999,74.24065,83.66696,65.87779,1359.6,3414.263,6725.9497
Cuba,2000,74.96358,84.83917,66.05967,905.5,3563.328,7072.01
Cuba,2001,75.26759,84.838455,66.70184,1212.7,3481.2024,6842.96
Cuba,2002,75.82435,85.372284,67.06801,1234.7999,3524.9456,6917.29
Cuba,2003,75.44378,84.8816,66.876915,1330.4,3421.6533,6708.5503
